company_symbol,release_date,title,contan
M&M,2023-02-01,"Union Budget 2023: ₹19,700 crore PLI auto boost","Govt allocates additional funds for auto PLI scheme, benefits M&M SUV and EV plans"
M&M,2023-03-15,"GST Council cuts SUV tax from 28% to 18% on select models","M&M Scorpio and XUV700 prices drop 5-7%, boosting demand"
M&M,2023-06-10,"Heavy monsoon forecast may boost tractor sales","M&M agriculture division expects 15% volume growth from rural demand"
M&M,2023-08-05,"China imposes 15% tariff on auto components","M&M evaluating local sourcing to offset impact"
M&M,2023-09-20,"Festive season sees record 25% SUV sales growth","M&M leads market with 32% jump in bookings for Thar and XUV"
M&M,2023-11-12,"RBI keeps repo rate at 6.5%, auto loans to remain steady","M&M finance subsidiary sees stable demand for vehicle financing"
M&M,2024-01-25,"Interim Budget 2024: ₹1.3 lakh crore for agriculture","Rural spending boost positive for M&M tractor division"
M&M,2024-02-18,"Steel prices rise 12% in Q4, margin pressure on auto cos","M&M may increase SUV prices by 2-3% to offset costs"
M&M,2024-04-05,"Election Model Code of Conduct delays infrastructure spending","M&M CV division sees temporary slowdown in orders"
M&M,2024-05-22,"Exit polls predict stable govt, markets rally on reform hopes","Auto sector gains 5% on expectation of continued GST stability"
M&M,2024-06-15,"New govt's first 100 days: Focus on manufacturing","M&M announces ₹5,000 crore EV investment in Maharashtra"
M&M,2024-07-01,"Budget 2024: Customs duty on lithium-ion cells reduced to 5%","M&M EV costs to reduce by 8-10%,加速s EV adoption plans"
M&M,2024-08-10,"Monsoon deficit concerns rural demand outlook","M&M tractor sales growth revised from 12% to 8%"
M&M,2024-09-22,"GST rate on SUVs cut to 18% from 28%, effective Oct 1","M&M passes on benefits with price cuts across portfolio"
M&M,2024-10-15,"China EV tariffs impact global supply chains","M&M accelerates本地sourcing for EV components"
M&M,2024-11-08,"US Fed rate cut signals global easing cycle","M&M Finance sees lower borrowing costs ahead"
M&M,2024-12-20,"Year-end review: Auto sector grows 14% in 2024","M&M market share in SUVs expands to 22% from 19%"
M&M,2025-01-12,"Davos 2025: India emerges as investment hotspot","M&M signs $500 million EV tech partnership with German firm"
M&M,2025-02-01,"Union Budget 2025: Infrastructure spending up 25%","M&M CV division expects strong demand from construction sector"
M&M,2025-02-18,"Rural demand recovery strengthens tractor sales","M&M tractor volumes up 18% in Q4"
M&M,2025-03-25,"US imposes reciprocal tariffs on auto imports","M&M exports to US may face 10% additional duty"
M&M,2025-04-15,"EU delays 2035 ICE ban, hybrid demand outlook improves","M&M's SUV hybrid strategy gains relevance"
M&M,2025-05-08,"RBI cuts repo rate by 25 bps to 6.25%","Auto loan demand expected to rise 15-20%"
M&M,2025-06-20,"Monsoon forecast normal, Kharif sowing picks up","M&M tractor inventory builds for strong season"
M&M,2025-07-01,"Budget 2025: EV subsidies extended by 2 years","M&M EV roadmap remains on track with policy support"
M&M,2025-08-12,"China devalues yuan, makes imports cheaper","M&M concerned about cheaper Chinese auto parts flooding market"
M&M,2025-09-10,"GST Council considers further rate cuts on hybrids","M&M lobbying for tax parity between hybrid and EV"
M&M,2025-09-22,"GST on SUVs cut to 18% from 28%, effective Oct 1","M&M announces ₹50,000-1.5 lakh price cuts on SUV models"
M&M,2025-10-18,"Festive season sees 70% jump in small car demand","M&M's SUV portfolio also benefits, bookings up 35%"
M&M,2025-11-15,"COP28: India commits to 30% EV sales by 2030","M&M accelerates EV transition plans with new models"
M&M,2025-12-05,"RBI holds rates, inflation concerns persist","M&M Finance maintains growth guidance"
